Cod.;Nome;Totale A;Quantità A;Totale B;Quantità B;Andamento A/B
LK-SL033-SR00B;uspended Artistic Atmosphere Light Size:D33 Without Bulb Input Voltage: 220-240V AC Material: Iron housing IP:20 Warranty: 2 years Finished Color: Lemon Yellow With 1m suspended cable kit.;30,00;2,00;30,00;2,00;
LT-100-48;Driver 100W 230Vac/48Vdc;27,20;2,00;27,20;2,00;
Plexiglass - Pannello Custom;Plexiglass - Pannello Custom;64,00;2,00;64,00;2,00;
LANTERNA BRANDY A PARETE;LANTERNA BRANDY A PARETE;140,00;2,00;140,00;2,00;
Specchio lampada circolare custom;specchio 5mm bronzo filo grezzo perimetrale con traccia tonda centrale diam 180 cm;360,00;1,00;360,00;1,00;
Lampadario Circolare;Lampadario Circolare custom;2700,00;1,00;2700,00;1,00;
Impianto Stampa (una tantum);Impianto Stampa (una tantum);70,00;1,00;70,00;1,00;
7449079243971;CINTURA 8 PORTALAMPADE E27 CON CALATE S;38,22;1,00;38,22;1,00;
LK-DAG062L-RR10L;Dora IP65 Downlight Size:62mmD*85mmH Cutout:55mm LED: Philips COB 10W Lumen:75-85lm/W CRI>90 CCT:3000K Beam Angle: 38 deg Input Voltage: 220-240V AC Non-dimmable Driver: Lifud PF>0.9 IP:65 (only lamp is IP65) Warranty: 5 years Finished color: White Ring;0,00;1,00;0,00;1,00;
SQUADRA INOX;SQUADRA INOX 160/250 BASE 150;12,50;1,00;12,50;1,00;
VETRO STELLA;Vetro esagonale per lampadario Stella come da disegno;0,00;1,00;0,00;1,00;
Becon-Lamp;Beacon Lamp realizzata in acciaio inox AISI 316, con diffusore opalino in tubo cavo di PMMA color bianco latte. Dimensioni: altezza 33 cm, diametro 12 cm.;90,21;1,00;90,21;1,00;
AL8410WDR3RS;GEA RGBW DYNAMIC WALL WASH RGB+W 3000K DMX-RDM POWER IN/OUT - DMX IN/OUT;858,99;1,00;858,99;1,00;
Canalino Batman;Canalino Batman come da disegni;80,00;1,00;80,00;1,00;
NORMA;NORMA Palo 2 Luci H2350;450,00;1,00;450,00;1,00;
LK-DAG075L-TR10L;Dora IP65 Trimless Downlight Size:75mmD*85mmH Cutout:57mm LED: Philips COB 10W Lumen:75-85lm/W CRI>90 CCT:3000K Beam Angle:38° Input Voltage:220-240VAC Non-dimmable Driver:Lifud PF>0.9 IP:65 (only lamp is IP65) Warranty: 6 years Finished color: White Ring;0,00;1,00;0,00;1,00;
Canalina in Acciaio Inox 316;Satinato L=1000 MM SP.8/10 - A DISEGNO;20,00;1,00;20,00;1,00;
AL8455;Cassaforma per AL8410WDRNRS;52,25;1,00;52,25;1,00;
Batman Open;Batman Open come da disegno;48,00;1,00;48,00;1,00;
2003-A;2003-A;17,36;1,00;17,36;1,00;
XTR06;Triangolo acciaio custom CENTRE BLOCK;0,00;1,00;0,00;1,00;
Saldatore MFR-1100 METCAL;Saldatore MFR-1100 METCAL;386,00;1,00;386,00;1,00;
SL1150FM-5;Spotlight 45W 3000K 2.5° AC220V IP66 ON/OFF;170,00;1,00;170,00;1,00;
LK-DH040-RR07L;Dora IP65 Downlight Size:62mmD*85mmH Cutout:55mm LED: Philips COB 10W Lumen:75-85lm/W CRI>90 CCT:3000K Beam Angle: 38 deg Input Voltage: 220-240V AC Non-dimmable Driver: Lifud PF>0.9 IP:65 (only lamp is IP65) Warranty: 5 years Finished color: White Ring;0,00;1,00;0,00;1,00;
Lamp Head;Street Light Fixture, Size D480*H360mm, Power 30W, 200-240V AC, Bridgelux LED, Done Driver, Material: Aluminum + PC;63,54;1,00;63,54;1,00;
Campione Tubo;Campione lampada tubo;200,00;1,00;200,00;1,00;
AL1321;infrared remote controll;38,00;1,00;38,00;1,00;
5210-A10;5210-A10;1,61;1,00;1,61;1,00;
XTR07;Triangolo Acciaio Custom CENTER BLOCK COVER;0,00;1,00;0,00;1,00;
Holovision Sphere;SR300 Dia.300mm RGB 3in1 360D 20W DC24V Wifi;200,00;1,00;200,00;1,00;
Mold Case Pipistrello Jannat;Mold Cost Option 2;2950,00;1,00;2950,00;1,00;
VIWV71303;SCATOLA INCASSO RETTANGOLARE. 3M AZZURRO;0,23;1,00;0,23;1,00;
LK-DH065-TR07L;ora IP65 Trimless Downlight Size:75mmD*85mmH Cutout:57mm LED: Philips COB 10W Lumen:75-85lm/W CRI>90 CCT:3000K Beam Angle: 38°  Input Voltage: 220-240VAC Non-dimmable Driver:Lifud PF>0.9 IP:65 (only lamp is IP65)Warranty:6 years Finished color: White Ring;0,00;1,00;0,00;1,00;
BTIC9342D66L;BTNET - ARMADIO 42U 600X600 LINKEO;437,32;1,00;437,32;1,00;
3003-A;3003-A;20,80;1,00;20,80;1,00;
GLYPTA;Lampada da esterno altezza 2,5m;0,00;1,00;0,00;1,00;
WIFI Route + Dongle software;for change videos for Holovision Sphere;400,00;1,00;400,00;1,00;
Campionatura;Campionatura;55,61;1,00;55,61;1,00;
Stick2 - Circuit;Cost of making;100,00;1,00;100,00;1,00;
052-0003;052-0003;18,44;1,00;18,44;1,00;
ST.70.0240;Stampante a trasferimento termico modello CAB EOS 5;882,00;1,00;882,00;1,00;
SL1157N-18KP;Spotlight 100W RGBWCLA 30° AC220V IP66 DMX512;320,00;1,00;320,00;1,00;
UTD1083/55;DISTRIBUTORE 4 UTENZE 2VOICE;32,16;1,00;32,16;1,00;
verniciatura;verniciatura;0,00;1,00;0,00;1,00;
SL1156F-24;Spotlight 150W RGBW (W3000K) 45° AC220V IP66 DMX512;270,00;1,00;270,00;1,00;
TRL-001;Panel Light Sample;10,00;1,00;10,00;1,00;
LWA455-WT;lamp type Osram SMD 2835, 12W, 3000K, 300mA, Driver Eaglerise 10-14X1w round CE/TUV/SAA/BIS, 1200LM, beam /, material aluminum, finishing white painting, size L120xW40xH100 (mm), Installation wall surface mounted, IP65;27,70;1,00;27,70;1,00;
COP (Costo di produzione);Totale del costo di produzione dei pezzi in questo ordine;140,00;1,00;140,00;1,00;
Roulette Francese;LAMPADA DA TAVOLO MOD PALO FRANCESE;0,00;1,00;0,00;1,00;
SL1239FE-4;Spotlight 20W 3000K 300° AC220V IP66 ON/OFF;90,00;1,00;90,00;1,00;
CHL-001;Spotlight Sample;0,00;1,00;0,00;1,00;
CPU211-960;CIRCUITO PURALUCE (1 LED) 21mm 3W (700mA) 2,9Vdc 6000K CRI90;1,40;1,00;1,40;1,00;
D80X18-1224-2CV-CBU;Dimmer Casambi 2 canali Turnable White;51,50;1,00;51,50;1,00;
LWA369;lamp type CREE COB 1304, 3W, 3000K, 300mA, Driver Bovvileds 3x1W/CE/IP65, 300LM, beam 20 degree, material brass, finishing brass color, size L69xW44xH90(mm), Installation wall surface mounted, IP65;29,30;1,00;29,30;1,00;
Trasmittente XT2 868 SLH LR Bianca;Trasmittente XT2 868 SLH LR Bianca;17,26;1,00;17,26;1,00;
PRISMA;PRISMA;4900,00;1,00;4900,00;1,00;
XPRESS-LR-B-239;Wireless User Interface, Evolution Firmware, Black Color, CR2430 Lithium-ion Battery, 90 x 90 x 12 mm long range compatibility;100,60;1,00;100,60;1,00;
SL1245FE-1;Spotlight 10W 3000K 30° DC24V IP66 ON/OFF;40,00;1,00;40,00;1,00;
Applique a parete;Applique a parete;100,00;1,00;100,00;1,00;
HC;Contributo fisso di gestione per il non raggiungimento del minimo imponibile (100€);15,00;1,00;15,00;1,00;
LFL036-IN220;lamp type CREE XPE, 3W, 3000K, 600mA, Driver bovvileds 1x3W CE/built-in, 120lm, beam 30 degree, material brass, finishing brass color, size D34xH830(mm), Installation please refer to Manual, IP65;46,20;1,00;46,20;1,00;
Vassoio Quadra;Vassoio Quadra;500,00;1,00;500,00;1,00;
STELLA;Realizzazione lampada custom "Stella";4500,00;1,00;4500,00;1,00;
SL1236FF-9;Spotlight 60W RGBW(W4000K) 30° AC220V IP66 DMX512;165,00;1,00;165,00;1,00;
LWA370;lamp type CREE COB 1304, 2X3W, 3000K, 300mA, Driver DONE 5-7X1W CE/IP65, 600LM, beam 20 degree, material brass, finishing brass color, size L69xW44xH130(mm), Installation wall surface mounted, IP65;38,30;1,00;38,30;1,00;
Fornitutura + Montaggio Vetro Lanterna;Fornitutura + Montaggio Vetro Lanterna come da nostri disegni;900,00;1,00;900,00;1,00;
