"Azioni";"Codice";"Nome";"Barcode";"Tipo";"Categoria";"Sottocategoria";"Giacenza";"Prezzo di acquisto";"Valore magazzino";"Q.tà per confezione";"Prezzo €";"Iva";"Creato da";"Disabilitato"
"";"POINT20-AD";"Faretto da incasso Point 20 orientabile. Input Voltage: 220V - Power: 20W - Beam angle: 36° - CRI90 - IP20 - Size:D112*H100 - Cutout: 105mm";"";"Semplice";"";"";"0";"";"";"1";"84,7";"IVA 22%";"Giacomo";"false"
"";"Circuito_Avro";"Circuito per lampada Avro. Input Voltage: 24Vdc - Power: 8W/pc - CCT: 3000K - CRI>80 - IP20 - Size: 280x280mm";"";"Semplice";"";"";"0";"";"";"1";"8,5";"IVA 22%";"Giacomo";"false"
"";"KENTOS-12RGBW";"Proiettore Kento S RGBW 12 - dimension: 88*54 - Input voltage: 230Vac - Finiture: Black";"";"Semplice";"";"";"0";"";"";"1";"94,34";"IVA 22%";"Giacomo";"false"
"";"EUKA-36RGBW";"Euka 36 RGBW, lunghezza:1m. Input Voltage: 24Vdc - Power: 36W - CCT: RGBW - Beam angle: 10/20/30/45/60 - IP66 - Size: L:1000*H:83 - Finitura: Grey";"";"Semplice";"";"";"0";"";"";"1";"457,53";"IVA 22%";"Giacomo";"false"
"";"Lampade a Muro";"Lampade a Muro";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"LM-150-24-G1D2F";"Driver Dali DT8 150W 220V/24Vdc";"";"Semplice";"";"";"0";"";"";"1";"80";"IVA 22%";"Giacomo";"false"
"";"TAU50-SOS-24m";"Apparecchio illuminotecnico lineare a sospensione 50x75mm lunghezza:24m - 220Vac (driver integrato)50W/m 6000K CRI>90 cover prismatica";"";"Semplice";"";"";"0";"";"";"1";"2683,2";"IVA 22%";"Giacomo";"false"
"";"TAU50-SOS-21m";"Apparecchio illuminotecnico lineare a sospensione 50x75mm lunghezza:21m - 220Vac (driver integrato)50W/m 6000K CRI>90 cover prismatica";"";"Semplice";"";"";"0";"";"";"1";"2347,8";"IVA 22%";"Giacomo";"false"
"";"TAU50-SOS-17m";"Apparecchio illuminotecnico lineare a sospensione 50x75mm lunghezza:21m - 220Vac (driver integrato)50W/m 6000K CRI>90 cover prismatica";"";"Semplice";"";"";"0";"";"";"1";"1900,6";"IVA 22%";"Giacomo";"false"
"";"TAU50-SOS-10m";"Apparecchio illuminotecnico lineare a sospensione 50x75mm lunghezza:10m - 220Vac (driver integrato)50W/m 6000K CRI>90 cover prismatica";"";"Semplice";"";"";"0";"";"";"1";"0";"";"Giacomo";"false"
